2017-10-15 15:57:40 +0000,16492,-840,-1144,20,22,10,0,1
2017-10-15 15:57:40 +0000,16576,-800,-1112,28,14,1,0,1
2017-10-15 15:57:40 +0000,16552,-820,-992,23,18,255,0,1
2017-10-15 15:57:40 +0000,16524,-776,-1132,12,9,253,0,1
2017-10-15 15:57:40 +0000,16456,-820,-1156,15,9,254,0,1
2017-10-15 15:57:40 +0000,16492,-688,-1200,29,12,0,0,1
2017-10-15 15:57:40 +0000,16492,-696,-1216,22,0,254,0,1
2017-10-15 15:57:40 +0000,16464,-736,-1208,14,5,255,0,1
2017-10-15 15:57:41 +0000,16476,-764,-1184,19,6,1,0,1
2017-10-15 15:57:41 +0000,16560,-792,-1276,25,7,1,0,1
2017-10-15 15:57:41 +0000,16464,-828,-1268,28,17,2,0,1
2017-10-15 15:57:41 +0000,16464,-792,-1236,42,15,254,0,1
2017-10-15 15:57:41 +0000,16400,-764,-1128,26,36,254,0,1
2017-10-15 15:57:41 +0000,16996,-608,-868,-38,-69,49,0,1
2017-10-15 15:57:41 +0000,16520,-940,-1312,35,-65,244,0,1
2017-10-15 15:57:41 +0000,17188,-760,-1048,21,-56,210,0,1
2017-10-15 15:57:41 +0000,16284,-208,-1144,-152,-40,6,0,1
2017-10-15 15:57:41 +0000,16696,-1016,-1492,-154,51,213,0,1
2017-10-15 15:57:42 +0000,15576,-1804,-2060,-50,112,210,0,1
2017-10-15 15:57:42 +0000,17348,-992,-1416,127,51,243,0,1
2017-10-15 15:57:42 +0000,16256,-968,-1304,229,57,23,0,1
2017-10-15 15:57:42 +0000,16248,80,-1168,216,119,48,0,1
2017-10-15 15:57:42 +0000,16840,40,-632,75,69,31,0,1
2017-10-15 15:57:42 +0000,16572,-284,-952,-48,-25,251,0,1
2017-10-15 15:57:42 +0000,16320,-632,-1060,-104,-8,239,0,1
2017-10-15 15:57:42 +0000,16680,-768,-1204,0,34,252,0,1
2017-10-15 15:57:42 +0000,16536,-640,-1044,29,-5,1,0,1
2017-10-15 15:57:43 +0000,16384,-488,-992,8,-12,5,0,1
2017-10-15 15:57:43 +0000,16704,-480,-1072,-23,16,255,0,1
2017-10-15 15:57:43 +0000,16396,-740,-1208,-46,19,252,0,1
2017-10-15 15:57:43 +0000,16828,-632,-1008,13,14,18,0,1
2017-10-15 15:57:43 +0000,16280,-680,-956,31,16,25,0,1
2017-10-15 15:57:43 +0000,16456,-736,-952,9,21,10,0,1
2017-10-15 15:57:43 +0000,16512,-728,-976,7,30,18,0,1
2017-10-15 15:57:43 +0000,16532,-712,-908,36,21,21,0,1
2017-10-15 15:57:43 +0000,16244,-804,-1080,114,9,53,0,1
2017-10-15 15:57:43 +0000,16280,-1004,-608,28,-34,98,0,1
2017-10-15 15:57:44 +0000,16716,-1400,-1196,13,-73,75,0,1
2017-10-15 15:57:44 +0000,16344,-1420,-1732,128,-9,247,0,1
2017-10-15 15:57:44 +0000,16740,-1204,-1452,156,58,249,0,1
2017-10-15 15:57:44 +0000,16472,-1092,-992,103,54,255,0,1
2017-10-15 15:57:44 +0000,16380,-1212,-988,-12,44,245,0,1
2017-10-15 15:57:44 +0000,16392,-1116,-880,-58,16,221,0,1
2017-10-15 15:57:44 +0000,16508,-540,-952,-62,15,223,0,1
2017-10-15 15:57:44 +0000,16436,-1308,-1292,-91,35,235,0,1
2017-10-15 15:57:44 +0000,16472,-1044,-1072,27,21,242,0,1
2017-10-15 15:57:44 +0000,16428,-1008,-676,64,8,225,0,1
2017-10-15 15:57:45 +0000,16376,-624,-1072,66,-53,207,0,1
2017-10-15 15:57:45 +0000,16476,-368,-1372,46,14,240,0,1
2017-10-15 15:57:45 +0000,16812,-656,-1372,9,29,246,0,1
2017-10-15 15:57:45 +0000,16564,-644,-1128,2,15,2,0,1
2017-10-15 15:57:45 +0000,16364,-808,-1024,21,33,9,0,1
2017-10-15 15:57:45 +0000,16424,-668,-948,18,42,12,0,1
2017-10-15 15:57:45 +0000,16524,-616,-984,-3,18,251,0,1
2017-10-15 15:57:45 +0000,16420,-820,-1044,2,4,250,0,1
2017-10-15 15:57:45 +0000,16448,-740,-1020,24,6,250,0,1
2017-10-15 15:57:46 +0000,16504,-620,-1060,26,-1,246,0,1
2017-10-15 15:57:46 +0000,16460,-620,-1092,17,-1,245,0,1
2017-10-15 15:57:46 +0000,16564,-568,-1188,16,8,255,0,1
2017-10-15 15:57:46 +0000,16532,-764,-1060,-23,16,17,0,1
2017-10-15 15:57:46 +0000,16488,-316,-1128,-21,26,2,0,1
2017-10-15 15:57:46 +0000,16644,-520,-1088,11,37,2,0,1
2017-10-15 15:57:46 +0000,16648,-756,-1128,81,61,236,0,1
2017-10-15 15:57:46 +0000,16392,-812,-1252,175,34,230,0,1
2017-10-15 15:57:46 +0000,16792,-412,-1204,235,67,230,0,1
2017-10-15 15:57:46 +0000,16592,-1184,-928,231,103,199,0,1
2017-10-15 15:57:47 +0000,16408,-228,68,204,99,196,0,1
2017-10-15 15:57:47 +0000,16732,-348,-308,291,145,159,0,1
2017-10-15 15:57:47 +0000,16496,332,-108,282,151,118,0,1
2017-10-15 15:57:47 +0000,16396,-20,256,67,138,171,0,1
2017-10-15 15:57:47 +0000,16456,188,628,46,139,205,0,1
2017-10-15 15:57:47 +0000,16632,440,716,105,131,235,0,1
2017-10-15 15:57:47 +0000,16372,848,1056,95,95,1,0,1
2017-10-15 15:57:47 +0000,16284,708,1244,-8,60,230,0,1
2017-10-15 15:57:47 +0000,16596,32,1140,40,66,128,0,1
2017-10-15 15:57:48 +0000,16664,624,1140,-16,-9,222,0,1
2017-10-15 15:57:48 +0000,16336,780,1276,-15,-10,211,0,1
2017-10-15 15:57:48 +0000,16700,1072,1248,-48,-41,220,0,1
2017-10-15 15:57:48 +0000,16052,724,464,-82,-56,196,0,1
2017-10-15 15:57:48 +0000,16628,1936,1388,-12,-90,242,0,1
2017-10-15 15:57:48 +0000,16504,1136,676,-494,-65,129,0,1
2017-10-15 15:57:48 +0000,16696,832,968,-265,-75,83,0,1
2017-10-15 15:57:48 +0000,16284,260,68,-417,-33,209,0,1
2017-10-15 15:57:48 +0000,16656,-964,68,-83,-12,109,0,1
2017-10-15 15:57:48 +0000,17080,880,-4,11,18,22,0,1
2017-10-15 15:57:49 +0000,16288,144,388,-221,52,137,0,1
2017-10-15 15:57:49 +0000,16876,-44,264,-161,128,90,0,1
2017-10-15 15:57:49 +0000,15260,-924,892,-169,323,217,0,1
2017-10-15 15:57:49 +0000,17148,-580,1428,-160,90,246,0,1
2017-10-15 15:57:49 +0000,16600,-984,1284,-53,113,14,0,1
2017-10-15 15:57:49 +0000,16080,-552,1812,110,112,241,0,1
2017-10-15 15:57:49 +0000,16528,-544,1996,31,50,23,0,1
2017-10-15 15:57:49 +0000,16020,-704,1380,-23,-15,7,0,1
2017-10-15 15:57:49 +0000,16552,-808,1224,-14,-4,18,0,1
2017-10-15 15:57:49 +0000,16472,-880,1500,102,14,245,0,1
2017-10-15 15:57:50 +0000,16524,-640,780,112,80,19,0,1
2017-10-15 15:57:50 +0000,16596,-424,1640,42,40,40,0,1
2017-10-15 15:57:50 +0000,16400,-764,1872,-9,26,30,0,1
2017-10-15 15:57:50 +0000,16096,-1128,1956,33,32,24,0,1
2017-10-15 15:57:50 +0000,16524,-824,1704,43,-34,18,0,1
2017-10-15 15:57:50 +0000,16148,-752,1664,85,-82,18,0,1
2017-10-15 15:57:50 +0000,16524,-1260,1416,76,-43,248,0,1
2017-10-15 15:57:50 +0000,16680,-692,1304,177,-76,219,0,1
2017-10-15 15:57:50 +0000,16448,-532,1128,119,-97,176,0,1
2017-10-15 15:57:51 +0000,16356,-1060,956,120,-77,202,0,1
2017-10-15 15:57:51 +0000,16592,-544,960,112,-86,255,0,1
2017-10-15 15:57:51 +0000,16556,8,1052,99,-64,0,0,1
2017-10-15 15:57:51 +0000,16620,-596,584,78,-151,1,0,1
2017-10-15 15:57:51 +0000,16820,-216,244,84,-145,220,0,1
2017-10-15 15:57:51 +0000,16580,-1396,-520,169,-35,235,0,1
2017-10-15 15:57:51 +0000,16468,408,-88,440,-21,55,0,1
2017-10-15 15:57:51 +0000,16892,936,-216,192,-113,73,0,1
2017-10-15 15:57:51 +0000,16468,-412,-212,-113,-89,92,0,1
2017-10-15 15:57:51 +0000,16580,-1472,-856,-41,-75,78,0,1
2017-10-15 15:57:52 +0000,16464,-1308,-768,54,-46,47,0,1
2017-10-15 15:57:52 +0000,16480,-1008,-740,50,-149,238,0,1
2017-10-15 15:57:52 +0000,16588,-684,-1124,-75,-49,43,0,1
2017-10-15 15:57:52 +0000,16500,-1460,-1240,-186,-112,244,0,1
2017-10-15 15:57:52 +0000,16408,-1424,-1576,8,18,240,0,1
2017-10-15 15:57:52 +0000,16636,-840,-1628,42,38,158,0,1
2017-10-15 15:57:52 +0000,16620,-328,-1600,74,5,201,0,1
2017-10-15 15:57:52 +0000,16324,-524,-1280,58,27,250,0,1
2017-10-15 15:57:52 +0000,16660,-584,-1256,17,-17,229,0,1
2017-10-15 15:57:53 +0000,16592,-236,-1400,11,-17,238,0,1
2017-10-15 15:57:53 +0000,16204,-580,-1496,92,0,234,0,1
2017-10-15 15:57:53 +0000,16648,84,-1524,46,-25,0,0,1
2017-10-15 15:57:53 +0000,16804,-824,-1744,-69,-41,117,0,1
2017-10-15 15:57:53 +0000,16376,-456,-1720,12,32,0,0,1
2017-10-15 15:57:53 +0000,16264,-724,-1684,16,10,5,0,1
2017-10-15 15:57:53 +0000,16584,-404,-1360,4,16,249,0,1
2017-10-15 15:57:53 +0000,16184,-396,-1608,-67,23,239,0,1
2017-10-15 15:57:53 +0000,16744,-860,-1756,-95,0,46,0,1
2017-10-15 15:57:53 +0000,16328,-1008,-1616,87,43,225,0,1
2017-10-15 15:57:54 +0000,17192,-804,-1304,143,16,12,0,1
2017-10-15 15:57:54 +0000,16220,-600,-1700,53,23,20,0,1
2017-10-15 15:57:54 +0000,16384,-768,-1264,87,45,187,0,1
2017-10-15 15:57:54 +0000,16792,-380,-1432,-4,16,235,0,1
2017-10-15 15:57:54 +0000,16308,-480,-1124,17,9,248,0,1
2017-10-15 15:57:54 +0000,16340,-220,-1536,6,22,245,0,1
2017-10-15 15:57:54 +0000,16728,-560,-1716,-8,20,242,0,1
2017-10-15 15:57:54 +0000,16208,-508,-1760,-33,-8,18,0,1
2017-10-15 15:57:54 +0000,16164,-588,-1472,28,6,12,0,1
2017-10-15 15:57:55 +0000,16756,-300,-1556,33,23,19,0,1
2017-10-15 15:57:55 +0000,16376,-272,-1996,-15,5,254,0,1
2017-10-15 15:57:55 +0000,16260,-444,-1696,-9,48,243,0,1
2017-10-15 15:57:55 +0000,17028,-284,-1692,88,40,252,0,1
2017-10-15 15:57:55 +0000,16300,-420,-1876,-37,9,3,0,1
2017-10-15 15:57:55 +0000,16264,-424,-1636,29,31,15,0,1
2017-10-15 15:57:55 +0000,16616,-560,-1512,45,50,1,0,1
2017-10-15 15:57:55 +0000,16820,-156,-1648,28,29,7,0,1
2017-10-15 15:57:55 +0000,16188,-264,-1468,11,28,3,0,1
2017-10-15 15:57:55 +0000,16576,-472,-1512,30,19,246,0,1
2017-10-15 15:57:56 +0000,16588,-276,-1596,-5,15,19,0,1
2017-10-15 15:57:56 +0000,16548,-248,-1244,14,22,251,0,1
2017-10-15 15:57:56 +0000,16116,-468,-1548,15,1,238,0,1
2017-10-15 15:57:56 +0000,16552,-348,-1532,6,-29,227,0,1
2017-10-15 15:57:56 +0000,16620,-324,-1472,7,-27,192,0,1
2017-10-15 15:57:56 +0000,16644,-88,-1408,38,-4,214,0,1
2017-10-15 15:57:56 +0000,16544,40,-1356,29,-18,243,0,1
2017-10-15 15:57:56 +0000,16568,-444,-1736,21,-15,246,0,1
2017-10-15 15:57:56 +0000,16504,-612,-1872,8,-25,252,0,1
2017-10-15 15:57:56 +0000,16616,-236,-2076,18,28,18,0,1
2017-10-15 15:57:57 +0000,16980,-656,-1952,92,81,247,0,1
2017-10-15 15:57:57 +0000,16208,620,-1696,234,50,227,0,1
2017-10-15 15:57:57 +0000,16736,416,-1332,87,73,50,0,1
2017-10-15 15:57:57 +0000,16416,120,-1552,3,71,29,0,1
2017-10-15 15:57:57 +0000,16388,-264,-1196,-82,22,45,0,1
2017-10-15 15:57:57 +0000,16412,-260,-1124,-35,-115,6,0,1
2017-10-15 15:57:57 +0000,16828,176,-1672,-49,-68,234,0,1
2017-10-15 15:57:57 +0000,16680,-232,-2020,-53,17,41,0,1
2017-10-15 15:57:57 +0000,16124,-1160,-2044,-40,-19,242,0,1
2017-10-15 15:57:58 +0000,16656,-468,-1756,68,46,41,0,1
2017-10-15 15:57:58 +0000,16636,-152,-1952,68,53,56,0,1
2017-10-15 15:57:58 +0000,15908,-168,-1616,105,12,150,0,1
2017-10-15 15:57:58 +0000,16680,-1576,-1848,-11,-65,234,0,1
2017-10-15 15:57:58 +0000,16620,-584,-1420,146,11,184,0,1
2017-10-15 15:57:58 +0000,16372,-36,-1720,70,27,235,0,1
2017-10-15 15:57:58 +0000,16468,-532,-1540,-42,44,236,0,1
2017-10-15 15:57:58 +0000,16472,-700,-1756,17,19,229,0,1
2017-10-15 15:57:58 +0000,16376,-680,-1616,75,22,21,0,1
2017-10-15 15:57:58 +0000,16588,-152,-1644,131,-2,64,0,1
2017-10-15 15:57:59 +0000,16712,-204,-1576,130,-1,221,0,1
2017-10-15 15:57:59 +0000,16408,-60,-1660,-64,-29,214,0,1
2017-10-15 15:57:59 +0000,16804,-952,-1800,-131,-28,71,0,1
2017-10-15 15:57:59 +0000,16484,-832,-1688,47,2,169,0,1
2017-10-15 15:57:59 +0000,16344,-428,-1724,80,26,250,0,1
2017-10-15 15:57:59 +0000,16448,-600,-1980,26,-11,216,0,1
2017-10-15 15:57:59 +0000,16600,-956,-2052,-4,-14,238,0,1
2017-10-15 15:57:59 +0000,16344,-492,-1608,-34,4,230,0,1
2017-10-15 15:57:59 +0000,16456,-908,-2140,-54,39,242,0,1
2017-10-15 15:58:00 +0000,16456,-1320,-1888,-47,48,42,0,1
2017-10-15 15:58:00 +0000,16392,-732,-1428,65,4,10,0,1
2017-10-15 15:58:00 +0000,16452,-344,-1644,65,54,242,0,1
2017-10-15 15:58:00 +0000,16460,-584,-1524,27,74,227,0,1
2017-10-15 15:58:00 +0000,16396,-632,-1524,38,61,238,0,1
2017-10-15 15:58:00 +0000,16432,-632,-1516,12,34,255,0,1
2017-10-15 15:58:00 +0000,16380,-716,-1512,-16,28,2,0,1
2017-10-15 15:58:00 +0000,16480,-668,-1384,-6,26,9,0,1
2017-10-15 15:58:00 +0000,16500,-592,-1536,9,30,7,0,1
2017-10-15 15:58:00 +0000,16292,-600,-1256,11,23,254,0,1
2017-10-15 15:58:01 +0000,16300,-564,-1220,24,14,7,0,1
2017-10-15 15:58:01 +0000,16452,-496,-872,22,-47,248,0,1
2017-10-15 15:58:01 +0000,16340,-628,-1348,9,3,2,0,1
2017-10-15 15:58:01 +0000,16512,-472,-1392,25,12,249,0,1
2017-10-15 15:58:01 +0000,16472,-516,-1560,0,3,247,0,1
2017-10-15 15:58:01 +0000,16440,-476,-1308,6,-24,245,0,1
2017-10-15 15:58:01 +0000,16484,-668,-1572,46,28,245,0,1
2017-10-15 15:58:01 +0000,16548,-352,-1528,47,-7,237,0,1
2017-10-15 15:58:01 +0000,16392,-208,-1484,0,20,244,0,1
2017-10-15 15:58:01 +0000,16416,-528,-1480,-35,20,252,0,1
2017-10-15 15:58:02 +0000,16472,-676,-1552,9,17,6,0,1
2017-10-15 15:58:02 +0000,16448,-520,-1492,42,23,250,0,1
2017-10-15 15:58:02 +0000,16400,-360,-1540,32,17,0,0,1
2017-10-15 15:58:02 +0000,16588,-352,-1484,2,-2,4,0,1
2017-10-15 15:58:02 +0000,16484,-448,-1344,-32,-1,255,0,1
2017-10-15 15:58:02 +0000,16428,-556,-1532,-8,0,8,0,1
2017-10-15 15:58:02 +0000,16528,-432,-1544,26,10,2,0,1
2017-10-15 15:58:02 +0000,16456,-412,-1632,38,11,255,0,1
2017-10-15 15:58:02 +0000,16460,-316,-1564,32,14,4,0,1
2017-10-15 15:58:03 +0000,16496,-292,-1612,12,7,13,0,1
2017-10-15 15:58:03 +0000,16520,-460,-1676,5,13,13,0,1
2017-10-15 15:58:03 +0000,16372,-496,-1564,-2,13,17,0,1
2017-10-15 15:58:03 +0000,16408,-508,-1648,10,10,10,0,1
2017-10-15 15:58:03 +0000,16472,-428,-1660,23,12,6,0,1
2017-10-15 15:58:03 +0000,16516,-376,-1656,27,10,2,0,1
2017-10-15 15:58:03 +0000,16396,-480,-1620,12,8,9,0,1
2017-10-15 15:58:03 +0000,16524,-484,-1564,14,8,19,0,1
2017-10-15 15:58:03 +0000,16440,-564,-1612,27,16,14,0,1
2017-10-15 15:58:03 +0000,16432,-516,-1752,22,6,12,0,1
2017-10-15 15:58:04 +0000,16504,-660,-1692,21,6,15,0,1
2017-10-15 15:58:04 +0000,16432,-656,-1696,42,20,1,0,1
2017-10-15 15:58:04 +0000,16536,-732,-1676,48,19,2,0,1
2017-10-15 15:58:04 +0000,16472,-624,-1628,26,17,17,0,1
2017-10-15 15:58:04 +0000,16416,-692,-1596,20,14,12,0,1
2017-10-15 15:58:04 +0000,16588,-656,-1556,50,11,10,0,1
2017-10-15 15:58:04 +0000,16380,-660,-1656,28,-6,254,0,1
2017-10-15 15:58:04 +0000,16464,-684,-1708,9,-9,248,0,1
2017-10-15 15:58:04 +0000,16496,-596,-1652,1,-14,241,0,1
2017-10-15 15:58:05 +0000,16392,-636,-1856,-14,-3,226,0,1
2017-10-15 15:58:05 +0000,16540,-688,-1800,-6,1,230,0,1
2017-10-15 15:58:05 +0000,16480,-620,-1888,14,14,237,0,1
2017-10-15 15:58:05 +0000,16448,-512,-1808,49,21,244,0,1
2017-10-15 15:58:05 +0000,16404,-388,-1788,38,12,253,0,1
2017-10-15 15:58:05 +0000,16464,-340,-1848,25,14,249,0,1
2017-10-15 15:58:05 +0000,16460,-440,-1904,6,10,252,0,1
2017-10-15 15:58:05 +0000,16344,-484,-1828,3,1,0,0,1
2017-10-15 15:58:05 +0000,16512,-432,-1836,7,8,253,0,1
2017-10-15 15:58:05 +0000,16540,-372,-1828,4,6,242,0,1
2017-10-15 15:58:06 +0000,16492,-400,-1856,-8,10,231,0,1
2017-10-15 15:58:06 +0000,16488,-516,-1868,4,14,255,0,1
2017-10-15 15:58:06 +0000,16432,-380,-1864,33,18,5,0,1
2017-10-15 15:58:06 +0000,16480,-284,-1720,39,21,3,0,1
2017-10-15 15:58:06 +0000,16464,-500,-1896,50,22,7,0,1
2017-10-15 15:58:06 +0000,16540,-324,-1996,10,19,252,0,1
2017-10-15 15:58:06 +0000,16460,-504,-1856,-7,13,1,0,1
2017-10-15 15:58:06 +0000,16352,-416,-1744,25,12,6,0,1
2017-10-15 15:58:06 +0000,16412,-432,-1856,35,21,5,0,1
2017-10-15 15:58:07 +0000,16600,-316,-1808,40,21,253,0,1
2017-10-15 15:58:07 +0000,16476,-260,-1740,28,24,2,0,1
2017-10-15 15:58:07 +0000,16432,-388,-1672,28,44,6,0,1
2017-10-15 15:58:07 +0000,16560,-480,-1608,21,32,4,0,1
2017-10-15 15:58:07 +0000,16268,-408,-1752,63,34,4,0,1
2017-10-15 15:58:07 +0000,16528,-340,-1564,35,32,254,0,1
2017-10-15 15:58:07 +0000,16292,-376,-1584,11,31,4,0,1
2017-10-15 15:58:07 +0000,16516,-432,-1552,18,-1,8,0,1
2017-10-15 15:58:07 +0000,16456,-296,-1616,3,-6,1,0,1
2017-10-15 15:58:07 +0000,16392,-452,-1724,-7,-10,4,0,1
2017-10-15 15:58:08 +0000,16584,-368,-1756,32,11,13,0,1
2017-10-15 15:58:08 +0000,16396,-484,-1744,35,-7,5,0,1
2017-10-15 15:58:08 +0000,16416,-428,-1648,19,-2,32,0,1
2017-10-15 15:58:08 +0000,16468,-280,-1740,-17,13,48,0,1
2017-10-15 15:58:08 +0000,16476,-664,-1860,-16,6,32,0,1
2017-10-15 15:58:08 +0000,16476,-772,-1744,26,25,12,0,1
2017-10-15 15:58:08 +0000,16356,-852,-1736,40,22,0,0,1
2017-10-15 15:58:08 +0000,16280,-432,-1672,40,7,248,0,1
2017-10-15 15:58:08 +0000,16460,-652,-1800,11,27,23,0,1
